,Group,Point,mean_rank,measures
489,ST026,F0302,40.5,2
490,ST026,F0604,29.5,2
491,ST026,F0605,29.5,2
492,ST026,F0702,34.0,2
493,ST026,R024,126.5,2
494,ST026,R059,111.5,2
495,ST026,R064,98.5,2
496,ST026,R078,105.5,2
497,ST026,R083,81.5,2
498,ST026,R109,167.0,1
499,ST027,F0302,38.5,2
500,ST027,R024,120.5,2
501,ST027,R078,124.0,2
502,ST027,R083,100.0,2
503,ST027,R109,165.5,2
504,ST028,F0604,48.0,2
505,ST028,F0903,49.5,2
506,ST028,R024,141.0,2
507,ST028,R078,157.0,2
508,ST028,R083,106.5,2
509,ST028,R109,170.5,2
510,ST015,F0802,24.0,2
511,ST015,F0903,15.0,2
512,ST015,F0904,18.5,2
513,ST015,R073,35.5,2
514,ST015,R078,52.5,2
515,ST015,R079,57.5,2
516,ST015,R083,41.5,2
517,ST015,R085,25.5,2
518,ST015,U08F11,15.0,2
519,ST016,F0702,15.0,2
520,ST016,F0802,25.5,2
521,ST016,F0903,28.5,2
522,ST016,F0904,22.5,2
523,ST016,R068,30.0,2
524,ST016,R073,48.5,2
525,ST016,R078,44.5,2
526,ST016,R079,34.0,2
527,ST016,R083,31.5,2
528,ST016,R085,24.0,2
529,ST016,U08F11,19.0,2
530,ST017,F0702,31.0,2
531,ST017,F0704,28.0,2
532,ST017,F0802,42.5,2
533,ST017,F0903,38.0,2
534,ST017,F0904,10.5,2
535,ST017,R064,34.5,2
536,ST017,R067,18.0,2
537,ST017,R068,17.5,2
538,ST017,R069,17.5,2
539,ST017,R073,64.5,2
540,ST017,R078,38.5,2
541,ST017,R079,38.5,2
542,ST017,R083,48.0,2
543,ST017,U08F11,17.0,2
544,ST017,U08F8,26.5,2
545,ST58,F0704,78.0,2
546,ST58,F0705,63.0,2
547,ST58,F0802,99.5,2
548,ST58,L0608,41.0,2
549,ST58,L0610,48.5,2
550,ST58,L0611,30.0,2
551,ST58,R060,84.5,2
552,ST58,R073,46.0,2
553,ST043,L1044,18.0,2
554,ST043,L1046,35.5,2
555,ST043,L1124,23.0,2
556,ST043,L1204,159.0,2
557,ST043,L1205,164.0,2
558,ST070,L1205,78.5,2
559,ST52,L1205,53.0,2
560,ST52,L1206,24.0,2
561,ST52,L1207,37.0,2
562,ST52,L1208,33.0,2
