,Group,Point,mean_rank,measures
263,ST56,L0611,17.5,2
264,ST56,L0612,72.0,2
265,ST56,L0613,85.5,2
266,ST56,L0615,73.5,2
267,ST56,L0616,47.5,2
268,ST56,R064,50.0,2
269,ST56,R067,48.5,2
270,ST56,R068,68.0,2
271,ST100,L0411,86.0,2
248,ST54,L0609,50.0,2
247,ST54,L0608,37.5,2
246,ST54,L0411,31.0,2
245,ST54,F0605,104.0,2
221,ST55,L0606,26.5,2
222,ST55,L0607,19.5,2
223,ST55,L0608,21.5,2
224,ST55,L0609,10.5,2
225,ST55,L0610,23.5,2
226,ST55,L0611,26.5,2
227,ST55,L0612,35.0,2
228,ST55,L0613,37.0,2
229,ST55,L0615,40.0,2
230,ST55,L0616,12.0,2
231,ST55,L0704,25.5,2
272,ST100,L0412,89.5,2
232,ST55,R060,44.0,2
234,ST59,L0608,31.5,2
235,ST59,L0609,33.0,2
236,ST59,L0610,54.5,2
237,ST59,L0611,36.0,2
238,ST59,L0703,66.0,2
239,ST59,L0704,85.5,2
240,ST59,L0708,93.0,2
241,ST59,R060,33.5,2
242,ST59,R073,33.0,2
243,ST59,R079,33.0,2
244,ST54,F0604,105.5,2
233,ST59,F0802,40.5,2
273,ST100,L0607,77.5,2
274,ST100,L0608,76.5,2
275,ST100,L0609,80.0,2
301,ST042,L1027,66.0,2
302,ST042,L1046,45.0,2
303,ST042,L1062,49.5,2
304,ST042,L1102,101.0,2
305,ST042,L1103,121.5,2
306,ST042,L1104,95.0,2
307,ST042,L1105,63.5,2
308,ST042,L1119,53.5,2
309,ST063,L1026,17.5,2
310,ST063,L1027,16.0,2
311,ST063,L1102,30.0,2
300,ST042,L1026,23.5,2
312,ST063,L1103,36.5,2
314,ST70,F1202,71.0,2
315,ST70,L1026,159.0,2
316,ST70,L1027,117.5,2
317,ST70,L1044,60.5,2
318,ST70,L1046,99.5,2
319,ST70,L1102,44.5,2
320,ST70,L1103,40.0,2
321,ST70,L1104,118.5,2
322,ST70,L1105,76.5,2
323,ST71,F1201,41.5,2
324,ST71,F1202,39.0,2
313,ST70,F1201,21.5,2
326,ST71,L1103,173.0,2
299,ST038,L1119,52.5,2
297,ST038,L1104,113.5,2
276,ST100,L0612,101.0,2
277,ST100,L0613,151.5,2
278,ST100,L0615,113.5,2
279,ST100,L0616,75.0,2
280,ST101,L0402,57.0,2
281,ST101,L0404,99.0,2
282,ST101,L0411,43.0,2
283,ST101,L0412,91.5,2
284,ST101,L0606,32.5,2
298,ST038,L1105,99.0,2
286,ST101,L0609,43.5,2
285,ST101,L0608,50.5,2
288,ST101,L0613,153.5,2
289,ST101,L0615,118.5,2
290,ST101,L0616,85.0,2
291,ST038,L1026,77.0,2
292,ST038,L1044,68.0,2
293,ST038,L1046,42.5,2
294,ST038,L1062,67.5,2
295,ST038,L1102,78.0,2
296,ST038,L1103,102.5,2
287,ST101,L0612,124.0,2
871,ST037,L1017,50.5,2
726,ST052,L0905,52.75,4
375,ST014,R079,39.25,4
377,ST014,R098,28.0,4
