,Group,Point,m_distance,rank,measures
1394,ST62,F0903,5571.684385146487,75.0,2.0
1398,ST62,R067,9547.172397652734,25.0,2.0
1399,ST62,R068,8816.156721047133,29.0,2.0
1401,ST62,R079,7663.862747987186,32.0,2.0
1403,ST63,L0742,4870.894755002668,90.0,2.0
1406,ST63,L0807,1274.573439840793,93.0,2.0
1407,ST63,L0806,1343.8478139392957,103.0,2.0
1408,ST63,L0804,1160.7015483369846,135.0,2.0
1409,ST63,L0803,1152.1812595903768,127.5,2.0
1410,ST63,R083,4631.15037562948,28.5,2.0
1412,ST63,R079,9964.097340734097,38.0,2.0
1413,ST63,L0808,4202.031289860065,59.0,2.0
1414,ST64,L1021,5575.640312069996,126.5,2.0
1415,ST64,L1017,7901.487408355732,85.0,2.0
1416,ST64,L1005,1262.2185206137547,89.0,2.0
1417,ST64,L1004,1343.4191903246654,121.5,2.0
1418,ST64,L1002,1785.74446144238,72.5,2.0
1420,ST64,L1063,8261.649453496055,44.0,2.0
1421,ST64,L0826,11930.600613331499,50.5,2.0
1422,ST64,L0907,10442.393422178511,39.5,2.0
1425,ST64,L0835,11834.050404841471,77.0,2.0
1430,ST64,R108,12934.861386840252,24.0,2.0
1432,ST65,L0907,11348.291639052624,34.0,2.0
1433,ST65,L0826,12982.268099209483,39.5,2.0
1434,ST65,L1063,8918.585747903062,14.5,2.0
1435,ST65,L0835,13245.436358474652,60.5,2.0
1442,ST65,R103,10038.843067699552,17.5,2.0
1443,ST65,R108,11524.890475957285,20.0,2.0
1453,ST66,L0835,14462.950302866073,47.0,2.0
1458,ST66,R103,8777.408619505286,25.5,2.0
1459,ST66,R108,10372.888740288096,25.0,2.0
1460,ST66,R107,9635.94853712459,20.5,2.0
1464,ST67,F0904,3766.562899204521,38.0,2.0
1465,ST67,F0903,4812.858314355042,30.5,2.0
1468,ST67,R085,1937.3119344835736,69.5,2.0
1470,ST67,F1001,4240.3865469836555,39.0,2.0
1473,ST67,R098,10698.304497126985,21.0,2.0
1474,ST67,R079,8965.481077069411,40.5,2.0
1476,ST67,L0823,5032.712712798531,37.5,2.0
1477,ST67,L0824,8450.300664318405,46.5,2.0
1478,ST68,F1001,5550.4782386188335,64.0,2.0
1482,ST68,F0904,5120.185125460751,70.5,2.0
1483,ST68,R079,10357.104466592671,37.5,2.0
1484,ST68,R098,12110.278538278933,21.0,2.0
1485,ST68,R103,15992.587119507041,24.0,2.0
